id,company_id,bar_name,year,cocoa_pct,rating,bean_type,bean_origin
436,1,"Agua Grande",2016,0.63,3.75,,"Sao Tome"
437,1,Kpime,2015,0.7,2.75,,Togo
438,1,Atsane,2015,0.7,3.0,,Togo
439,1,Akata,2015,0.7,3.5,,Togo
440,1,Quilla,2015,0.7,3.5,,Peru
441,1,Carenero,2014,0.7,2.75,Criollo,Venezuela
442,1,Cuba,2014,0.7,3.5,,Cuba
443,1,"Sur del Lago",2014,0.7,3.5,Criollo,Venezuela
444,1,"Puerto Cabello",2014,0.7,3.75,Criollo,Venezuela
445,1,Pablino,2014,0.7,4.0,,Peru
446,1,Panama,2013,0.7,2.75,,Panama
447,1,Madagascar,2013,0.7,3.0,Criollo,Madagascar
448,1,Brazil,2013,0.7,3.25,,Brazil
449,1,Equateur,2013,0.7,3.75,,Ecuador
450,1,Colombie,2013,0.7,2.75,,Colombia
451,1,Birmanie,2013,0.7,3.0,,Burma
452,1,"Papua New Guinea",2013,0.7,3.25,,"Papua New Guinea"
453,1,Chuao,2013,0.7,4.0,Trinitario,Venezuela
454,1,Piura,2013,0.7,3.25,,Peru
455,1,"Chanchamayo Province",2013,0.7,3.5,,Peru
456,1,"Chanchamayo Province",2013,0.63,4.0,,Peru
457,1,Bolivia,2012,0.7,3.5,,Bolivia
458,1,Peru,2012,0.63,3.75,,Peru
459,3,"Chulucanas, El Platanal",2015,0.7,3.75,,Peru
460,3,"Tumbes, Norandino",2015,0.7,3.75,Criollo,Peru
461,4,"Vanua Levu",2011,0.6,2.75,Trinitario,Fiji
462,4,"Vanua Levu, Toto-A",2011,0.8,3.25,Trinitario,Fiji
463,4,"Vanua Levu",2011,0.88,3.5,Trinitario,Fiji
464,4,"Vanua Levu, Ami-Ami-CA",2011,0.72,3.5,Trinitario,Fiji
465,5,"Los Rios, Quevedo, Arriba",2009,0.55,2.75,"Forastero (Arriba)",Ecuador
466,5,"Los Rios, Quevedo, Arriba",2009,0.7,3.0,"Forastero (Arriba)",Ecuador
467,6,Tabasco,2009,0.7,3.0,Criollo,Mexico
468,7,"Bali (west), Sukrama Family, Melaya area",2011,0.75,3.75,Trinitario,Indonesia
469,7,"Madagascar, Ambolikapiky P.",2010,0.75,2.75,Criollo,Madagascar
470,7,"Monte Alegre, D. Badero",2010,0.75,2.75,Forastero,Brazil
471,8,Trinite,2014,0.65,2.75,Trinitario,Trinidad
472,8,Vietnam,2014,0.75,2.75,Trinitario,Vietnam
473,8,Madagascar,2014,0.75,3.0,Trinitario,Madagascar
474,8,Chuao,2013,0.75,2.5,Trinitario,Venezuela
475,8,"Piura, Perou",2013,0.75,2.5,,Peru
476,9,"Winak Coop, Napo",2017,0.7,3.5,"Forastero (Nacional)",Ecuador
477,9,"La Dalia, Matagalpa",2017,0.7,3.5,"Criollo, Trinitario",Nicaragua
478,9,"Tien Giang",2017,0.7,3.5,Trinitario,Vietnam
479,9,"Makwale Village, Kyela",2017,0.7,3.5,Forastero,Tanzania
480,10,Momotombo,2016,0.6,2.75,,Nicaragua
481,10,Acopagro,2016,0.6,3.0,,Peru
482,10,"CIAAB Coop",2016,0.6,2.5,,Bolivia
483,10,"Villa Andina",2016,0.6,2.5,,Peru
484,10,"Gruppo Salinas",2016,0.6,2.75,,Ecuador
485,10,"Sur del Lago",2013,0.6,2.5,,Venezuela
486,10,Conacado,2013,0.6,3.0,Trinitario,"Dominican Republic"
487,10,Bolivia,2013,0.8,3.25,,Bolivia
488,10,Bolivia,2013,0.6,3.0,,Bolivia
489,10,Peru,2013,0.6,3.25,,Peru
490,11,Morobe,2011,0.7,4.0,,"Papua New Guinea"
491,11,"Dos Rios",2010,0.7,3.75,,"Dominican Republic"
492,11,Guayas,2010,0.7,4.0,,Ecuador
493,11,Chuao,2010,0.7,3.0,Trinitario,Venezuela
494,11,Montanya,2009,0.7,3.0,,Venezuela
495,11,"Bali, Jembrana",2008,0.7,2.75,,Indonesia
496,11,Madagascar,2007,0.7,3.5,Trinitario,Madagascar
497,11,Cuyagua,2007,0.7,3.0,,Venezuela
498,11,Ocumare,2007,0.7,3.75,Criollo,Venezuela
499,12,Ghana,2009,0.7,3.0,Forastero,Ghana
500,12,Ecuador,2009,0.7,2.75,,Ecuador
501,12,Ecuador,2009,0.85,2.75,,Ecuador
502,12,Ghana,2009,0.85,3.0,Forastero,Ghana
503,13,"LamasdelChanka, San Martin, Oro Verde coop",2013,0.72,3.25,,Peru
504,13,"Bellavista Gran Pajeten, San Martin",2013,0.73,3.5,Trinitario,Peru
505,14,Belize,2015,0.64,3.0,Trinitario,Belize
506,14,Madagascar,2015,0.66,3.25,Trinitario,Madagascar
507,14,"Dominican Republic",2015,0.75,3.25,,"Dominican Republic"
508,14,"Papua New Guinea",2015,0.63,3.25,,"Papua New Guinea"
509,14,Venezuela,2015,0.7,3.25,,Venezuela
510,14,Peru,2015,0.68,3.5,,Peru
511,15,"Piura, Blanco de Criollo",2012,0.7,3.75,,Peru
512,15,Porcelana,2007,0.7,4.0,"Criollo (Porcelana)",Venezuela
513,15,Nine,2007,0.75,4.0,Blend,
514,15,Chuao,2007,0.7,5.0,Trinitario,Venezuela
515,15,Ecuador,2007,0.7,3.0,Trinitario,Ecuador
516,15,Jamaica,2007,0.7,3.0,Trinitario,Jamaica
517,15,Grenada,2007,0.7,3.5,Trinitario,Grenada
518,15,Venezuela,2007,0.7,3.75,"Trinitario (85% Criollo)",Venezuela
519,15,Madagascar,2007,0.7,4.0,"Trinitario (85% Criollo)",Madagascar
520,15,Trinidad,2007,0.7,3.5,Trinitario,Trinidad
521,15,"Toscano Black",2007,0.63,3.5,Blend,
522,15,"Toscano Black",2006,0.7,5.0,Blend,
523,15,"Toscano Black",2006,0.66,4.0,Blend,
524,2,Catongo,2013,0.75,3.25,"Forastero (Catongo)",Brazil
525,2,"Monte Alegre, 3 diff. plantations",2010,0.85,2.75,"Forastero (Parazinho)",Brazil
526,2,"Monte Alegre, 3 diff. plantations",2010,0.5,3.75,"Forastero (Parazinho)",Brazil
527,2,"Monte Alegre, 3 diff. plantations",2010,0.75,3.75,"Forastero (Parazinho)",Brazil
528,2,"Monte Alegre, 3 diff. plantations",2010,0.6,4.0,"Forastero (Parazinho)",Brazil
529,16,Elvesia,2014,0.75,3.0,,"Dominican Republic"
530,17,"Alto Beni",2016,0.75,3.5,,Bolivia
531,18,Madagascar,2014,0.75,3.0,Trinitario,Madagascar
532,18,Chiapas,2014,0.72,2.5,,Mexico
533,18,Equateur,2014,0.75,2.75,,Ecuador
